期号,开奖日期,开奖号码,单选中奖注数,销售总额,中奖总额,奖池金额
2026257,2026-09-25,"4,8,6",4696,10828804,6168074,2000000.0
2026256,2026-09-23,"0,5,1",1357,11149742,1944516,2000000.0
2026255,2026-09-22,"6,9,9",3452,11605018,4289730,2000000.0
2026254,2026-09-21,"8,5,0",3138,11499530,4046807,2000000.0
2026253,2026-09-20,"0,3,4",1524,11626650,2351595,2000000.0
2026252,2026-09-19,"0,9,2",3659,11167358,4649684,1157342.16
2026251,2026-09-18,"7,7,7",10710,12803246,11220498,0.0
2026250,2026-09-17,"9,5,4",8521,12142012,10227833,0.0
2026249,2026-09-16,"6,8,9",10495,11618388,12415572,0.0
2026248,2026-09-15,"8,7,6",5506,11662538,7164355,0.0
2026247,2026-09-14,"6,0,9",4274,11634128,5339431.0,710315.56
2026246,2026-09-13,"9,8,2",6135,11209026,7808395.0,0.0
2026245,2026-09-12,"5,4,9",3389,10902688,4443014.0,1226383.76
2026244,2026-09-11,"6,5,4",5326,11315186,7313991.0,0.0
2026243,2026-09-10,"2,1,9",4037,10637528,5122310.0,409204.56
2026242,2026-09-09,"5,5,5",10067,10620150,10502377.0,0.0
2026241,2026-09-08,"0,0,2",942,11145750,1287171.0,2000000.0
2026240,2026-09-07,"9,8,1",5551,10790480,6850624.0,760425.6
2026239,2026-09-06,"0,0,2",1619,11214990,2295559.0,2000000.0
2026238,2026-09-05,"8,9,9",2971,11799158,3971025.0,2000000.0
2026237,2026-09-04,"8,5,4",8441,12013784,10373428.0,0.0
2026236,2026-09-03,"0,4,7",6712,11832608,8506033.0,0.0
2026235,2026-09-02,"2,1,9",6365,11701488,7700907.0,0.0
2026234,2026-09-01,"6,9,5",5031,11524182,6624384.0,1368190.64
2026233,2026-08-31,"9,7,0",3982,11436838,5340035.0,2000000.0
2026232,2026-08-30,"6,5,8",4096,11481646,5756123.0,2000000.0
2026231,2026-08-29,"7,3,3",3511,11309012,4540327.0,2000000.0
2026230,2026-08-28,"0,6,6",3051,12287992,4024830.0,2000000.0
2026229,2026-08-27,"8,2,8",7688,17861052,13410738.0,1195393.04
2026228,2026-08-26,"3,9,9",3363,19198574,6061123.0,2000000.0
2026227,2026-08-25,"5,2,2",8250,18694758,14267774.0,732136.84
