预测生成时间,数据截至期号,目标期号,模型,百位Top1,十位Top1,个位Top1,百位Top3,十位Top3,个位Top3,和值Top3,最佳两位,实际号码,Top1命中数,Top3命中数,和值命中,两位严格命中
2026-08-19 09:44:15,2026208,2026209,ensemble,7,9,7,"7,1,6","9,8,1","7,0,8","13,12,14",百位+个位:7+7,"2,8,9",0,1,否,否
2026-08-20 10:21:42,2026209,2026210,ensemble,7,2,6,"7,5,6","2,6,8","6,2,8","15,14,16",百位+个位:7+6,"7,5,5",1,1,否,否
2026-08-20 10:24:47,2026210,2026211,ensemble,9,1,7,"9,4,0","1,9,6","7,2,6","16,15,17",十位+个位:1+7,"7,0,8",0,0,是,否
2026-08-20 10:36:13,2026211,2026212,ensemble,9,6,2,"9,0,4","6,2,7","2,0,6","15,14,16",百位+个位:9+2,"5,6,1",1,1,否,否
2026-08-20 10:39:43,2026212,2026213,ensemble,6,2,0,"6,4,8","2,4,9","0,8,5","14,15,12",十位+个位:2+0,"8,7,2",0,1,否,否
2026-08-20 10:44:00,2026213,2026214,ensemble,1,1,7,"1,9,7","1,0,2","7,0,8","15,14,16",十位+个位:1+7,"5,4,5",0,0,是,否
2026-08-20 10:46:45,2026214,2026215,ensemble,6,9,7,"6,8,4","9,2,0","7,6,2","15,14,16",十位+个位:9+7,"1,7,2",0,1,否,否
2026-08-20 10:49:52,2026215,2026216,ensemble,4,1,7,"4,0,8","1,0,2","7,0,8","13,12,14",十位+个位:1+7,"9,3,5",0,0,否,否
2026-08-20 10:52:33,2026216,2026217,ensemble,4,9,7,"4,5,0","9,2,8","7,2,6","14,15,13",百位+个位:4+7,"8,8,2",0,2,否,否
2026-08-20 10:54:42,2026217,2026218,ensemble,7,2,7,"7,9,1","2,8,1","7,0,8","16,17,15",十位+个位:2+7,"3,8,2",0,1,否,否
2026-08-20 10:56:55,2026218,2026219,ensemble,4,2,7,"4,5,8","2,8,1","7,0,8","15,14,16",十位+个位:2+7,"2,2,5",1,1,否,否
2026-08-20 11:00:05,2026219,2026220,ensemble,5,6,7,"5,6,7","6,0,9","7,2,6","13,12,14",十位+个位:6+7,"3,7,3",0,0,是,否
2026-08-20 11:02:03,2026220,2026221,ensemble,5,1,7,"5,4,8","1,0,5","7,6,2","13,14,12",十位+个位:1+7,"2,9,6",0,1,否,否
2026-08-20 11:03:55,2026221,2026222,ensemble,5,2,0,"5,6,7","2,7,6","0,7,2","14,13,15",十位+个位:2+0,"3,8,0",1,1,否,否
2026-08-21 09:19:56,2026222,2026223,ensemble,4,2,7,"4,5,2","2,8,1","7,4,6","13,14,12",十位+个位:2+7,"9,4,8",0,0,否,否
2026-08-24 09:15:45,2026223,2026224,ensemble,4,1,7,"4,0,5","1,0,9","7,2,1","16,17,15",百位+个位:4+7,"8,6,2",0,1,是,否
2026-08-24 09:19:22,2026224,2026225,ensemble,7,4,7,"7,9,4","4,2,9","7,5,8","16,15,17",百位+个位:7+7,"5,5,5",0,1,是,否
2026-08-24 09:21:39,2026225,2026226,ensemble,6,1,7,"6,4,7","1,9,3","7,2,9","15,16,14",十位+个位:1+7,"8,5,1",0,0,是,否
2026-08-24 22:47:13,2026226,2026227,ensemble,7,1,7,"7,9,4","1,9,3","7,0,4","15,14,16",十位+个位:1+7,"5,2,2",0,0,否,否
2026-08-25 23:00:31,2026227,2026228,ensemble,6,0,7,"6,4,8","0,6,1","7,5,4","13,14,12",百位+个位:6+7,"3,9,9",0,0,否,否
2026-08-26 22:22:15,2026228,2026229,ensemble,4,2,7,"4,5,2","2,7,1","7,6,5","16,15,17",十位+个位:2+7,"8,2,8",1,1,否,否
2026-08-28 00:12:30,2026229,2026230,ensemble,7,0,7,"7,9,4","0,6,1","7,2,1","16,15,17",十位+个位:0+7,,,,,
